time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load
29.630030000000154,,,,0.0
29.700000000000152,0.0,0.0,0.0,
29.730030000000156,,,,0.0
29.800000000000153,0.0,0.0,0.0,
29.830030000000157,,,,0.0
29.900000000000155,0.0,0.0,0.0,
29.93003000000016,,,,0.0
30.000000000000156,0.0,0.0,0.0,
30.03003000000016,,,,0.0
30.100000000000158,0.0,0.0,0.0,
30.13003000000016,,,,0.0
30.20000000000016,0.0,0.0,0.0,
30.230030000000163,,,,0.0
30.30000000000016,0.0,0.0,0.0,
30.330030000000164,,,,0.0
30.400000000000162,0.0,0.0,0.0,
30.430030000000166,,,,0.0
30.500000000000163,0.0,0.0,0.0,
30.530030000000167,,,,0.0
30.600000000000165,0.0,0.0,0.0,
30.63003000000017,,,,0.0
30.700000000000166,0.0,0.0,0.0,
30.73003000000017,,,,0.0
30.800000000000168,0.0,0.0,0.0,
30.83003000000017,,,,0.0
30.90000000000017,0.0,0.0,0.0,
30.930030000000173,,,,0.0
31.00000000000017,0.0,0.0,0.0,
31.030030000000174,,,,0.0
31.100000000000172,0.0,0.0,0.0,
31.130030000000176,,,,0.0
31.200000000000173,0.0,0.0,0.0,
31.230030000000177,,,,0.0
31.300000000000175,0.0,0.0,0.0,
31.33003000000018,,,,0.0
31.400000000000176,0.0,0.0,0.0,
31.43003000000018,,,,0.0
31.500000000000178,0.0,0.0,0.0,
31.53003000000018,,,,0.0
31.60000000000018,0.0,0.0,0.0,
31.630030000000183,,,,0.0
31.70000000000018,0.0,0.0,0.0,
31.730030000000184,,,,0.0
31.800000000000182,0.0,0.0,0.0,
31.830030000000185,,,,0.0
31.900000000000183,0.0,0.0,0.0,
31.930030000000187,,,,0.0
32.000000000000185,0.0,0.0,0.0,
32.03003000000019,,,,0.0
32.100000000000186,0.0,0.0,0.0,
32.13003000000019,,,,0.0
32.20000000000019,0.0,0.0,0.0,
32.23003000000019,,,,0.0
32.30000000000019,0.0,0.0,0.0,
32.33003000000019,,,,0.0
32.40000000000019,0.0,0.0,0.0,
32.430030000000194,,,,0.0
32.50000000000019,0.0,0.0,0.0,
32.530030000000195,,,,0.0
32.60000000000019,0.0,0.0,0.0,
32.6300300000002,,,,0.0
32.700000000000195,0.0,0.0,0.0,
32.7300300000002,,,,0.0
32.800000000000196,0.0,0.0,0.0,
32.8300300000002,,,,0.0
32.9000000000002,0.0,0.0,0.0,
32.9300300000002,,,,0.0
33.0000000000002,0.0,0.0,0.0,
33.0300300000002,,,,0.0
33.1000000000002,0.0,0.0,0.0,
33.130030000000204,,,,0.0
33.2000000000002,0.0,0.0,0.0,
33.230030000000205,,,,0.0
33.3000000000002,0.0,0.0,0.0,
33.33003000000021,,,,0.0
33.400000000000205,0.0,0.0,0.0,
33.43003000000021,,,,0.0
33.500000000000206,0.0,0.0,0.0,
33.53003000000021,,,,0.0
33.60000000000021,0.0,0.0,0.0,
33.63003000000021,,,,0.0
33.70000000000021,0.0,0.0,0.0,
33.73003000000021,,,,0.0
33.80000000000021,0.0,0.0,0.0,
33.830030000000214,,,,0.0
33.90000000000021,0.0,0.0,0.0,
