time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
3.1019999999999768,,,41.0,,,
3.1019999999999768,,,40.0,,,
3.1020799999999795,,,41.0,,,
3.1028499999999766,,,41.0,,,
3.1028499999999766,,,40.0,,,
3.1029299999999793,,,41.0,,,
3.1036999999999764,,,41.0,,,
3.1036999999999764,,,40.0,,,
3.104549999999976,,,40.0,,,
3.104549999999976,,,39.0,,,
3.105399999999976,,,39.0,,,
3.105399999999976,,,38.0,,,
3.1054799999999787,,,39.0,,,
3.1062499999999758,,,39.0,,,
3.1062499999999758,,,38.0,,,
3.1063299999999785,,,39.0,,,
3.1070999999999755,,,39.0,,,
3.1070999999999755,,,38.0,,,
3.1071799999999783,,,39.0,,,
3.1079499999999753,,,39.0,,,
3.1079499999999753,,,38.0,,,
3.108029999999978,,,39.0,,,
3.108799999999975,,,39.0,,,
3.108799999999975,,,38.0,,,
3.109649999999975,,,38.0,,,
3.109649999999975,,,37.0,,,
3.1104999999999747,,,37.0,,,
3.1104999999999747,,,36.0,,,
3.1105799999999775,,,37.0,,,
3.1113499999999745,,,37.0,,,
3.1113499999999745,,,36.0,,,
3.1114299999999773,,,37.0,,,
3.1121999999999743,,,37.0,,,
3.1121999999999743,,,36.0,,,
3.112279999999977,,,37.0,,,
3.113049999999974,,,37.0,,,
3.113049999999974,,,36.0,,,
3.113129999999977,,,37.0,,,
3.113899999999974,,,37.0,,,
3.113899999999974,,,36.0,,,
3.1139799999999767,,,37.0,,,
3.1147499999999737,,,37.0,,,
3.1147499999999737,,,36.0,,,
3.1148299999999765,,,37.0,,,
3.1155999999999735,,,37.0,,,
3.1155999999999735,,,36.0,,,
3.1156799999999762,,,37.0,,,
3.1164499999999733,,,37.0,,,
3.1164499999999733,,,36.0,,,
3.116529999999976,,,37.0,,,
3.117299999999973,,,37.0,,,
3.117299999999973,,,36.0,,,
3.117379999999976,,,37.0,,,
3.118149999999973,,,37.0,,,
3.118149999999973,,,36.0,,,
3.1182299999999756,,,37.0,,,
3.1189999999999727,,,37.0,,,
3.1189999999999727,,,36.0,,,
3.1198499999999725,,,36.0,,,
3.1198499999999725,,,35.0,,,
3.1206999999999723,,,35.0,,,
3.1206999999999723,,,34.0,,,
3.120779999999975,,,35.0,,,
3.121549999999972,,,35.0,,,
3.121549999999972,,,34.0,,,
3.121629999999975,,,35.0,,,
3.122399999999972,,,35.0,,,
3.122399999999972,,,34.0,,,
3.1224799999999746,,,35.0,,,
3.1232499999999717,,,35.0,,,
3.1232499999999717,,,34.0,,,
3.1233299999999744,,,35.0,,,
