time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load,Queue_6_avg_load,Queue_7_avg_load,Queue_8_avg_load,Queue_9_avg_load,Queue_10_avg_load,Queue_11_avg_load,Queue_12_avg_load
175.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.5,7.070247933884297,8.61923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.5,3.403225806451613,3.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.5,0.5625,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.5,5.755813953488372,0.0,7.3532934131736525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.5,4.826086956521739,0.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.5,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.5,7.227544910179641,0.0,0.0,9.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.5,5.315068493150685,0.0,0.0,4.410714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
